Fájlnév;Hiba típus;Részletek
._33606.pdf;OCR_FAILED;Nem olvasható szöveg
._33609.pdf;OCR_FAILED;Nem olvasható szöveg
._33619.pdf;OCR_FAILED;Nem olvasható szöveg
._33682.pdf;OCR_FAILED;Nem olvasható szöveg
._33688.pdf;OCR_FAILED;Nem olvasható szöveg
._33712.pdf;OCR_FAILED;Nem olvasható szöveg
._33721.pdf;OCR_FAILED;Nem olvasható szöveg
._33723.pdf;OCR_FAILED;Nem olvasható szöveg
._33724.pdf;OCR_FAILED;Nem olvasható szöveg
._33729.pdf;OCR_FAILED;Nem olvasható szöveg
._33734.pdf;OCR_FAILED;Nem olvasható szöveg
._33735.pdf;OCR_FAILED;Nem olvasható szöveg
._33742.pdf;OCR_FAILED;Nem olvasható szöveg
._33744.pdf;OCR_FAILED;Nem olvasható szöveg
._33749.pdf;OCR_FAILED;Nem olvasható szöveg
._33753.pdf;OCR_FAILED;Nem olvasható szöveg
._33754.pdf;OCR_FAILED;Nem olvasható szöveg
._33757.pdf;OCR_FAILED;Nem olvasható szöveg
._33766.pdf;OCR_FAILED;Nem olvasható szöveg
._33767.pdf;OCR_FAILED;Nem olvasható szöveg
._33769.pdf;OCR_FAILED;Nem olvasható szöveg
._33834.pdf;OCR_FAILED;Nem olvasható szöveg
._33835.pdf;OCR_FAILED;Nem olvasható szöveg
._33886.pdf;OCR_FAILED;Nem olvasható szöveg
._33891.pdf;OCR_FAILED;Nem olvasható szöveg
._33937.pdf;OCR_FAILED;Nem olvasható szöveg
._33965.pdf;OCR_FAILED;Nem olvasható szöveg
._33966.pdf;OCR_FAILED;Nem olvasható szöveg
._33967.pdf;OCR_FAILED;Nem olvasható szöveg
._33969.pdf;OCR_FAILED;Nem olvasható szöveg
._33970.pdf;OCR_FAILED;Nem olvasható szöveg
._33997.pdf;OCR_FAILED;Nem olvasható szöveg
._33999.pdf;OCR_FAILED;Nem olvasható szöveg
._34005.pdf;OCR_FAILED;Nem olvasható szöveg
._34072.pdf;OCR_FAILED;Nem olvasható szöveg
._34085.pdf;OCR_FAILED;Nem olvasható szöveg
._34088.pdf;OCR_FAILED;Nem olvasható szöveg
._34097.pdf;OCR_FAILED;Nem olvasható szöveg
._34114.pdf;OCR_FAILED;Nem olvasható szöveg
._34139.pdf;OCR_FAILED;Nem olvasható szöveg
._34145.pdf;OCR_FAILED;Nem olvasható szöveg
._34379.pdf;OCR_FAILED;Nem olvasható szöveg
._34397.pdf;OCR_FAILED;Nem olvasható szöveg
._34412.pdf;OCR_FAILED;Nem olvasható szöveg
._34418.pdf;OCR_FAILED;Nem olvasható szöveg
._34419.pdf;OCR_FAILED;Nem olvasható szöveg
._34524.pdf;OCR_FAILED;Nem olvasható szöveg
._34587.pdf;OCR_FAILED;Nem olvasható szöveg
._34589.pdf;OCR_FAILED;Nem olvasható szöveg
._34628.pdf;OCR_FAILED;Nem olvasható szöveg
._34709.pdf;OCR_FAILED;Nem olvasható szöveg
._34720.pdf;OCR_FAILED;Nem olvasható szöveg
._34722.pdf;OCR_FAILED;Nem olvasható szöveg
._34734.pdf;OCR_FAILED;Nem olvasható szöveg
._34760.pdf;OCR_FAILED;Nem olvasható szöveg
._34761.pdf;OCR_FAILED;Nem olvasható szöveg
._34807.pdf;OCR_FAILED;Nem olvasható szöveg
._34810.pdf;OCR_FAILED;Nem olvasható szöveg
._34811.pdf;OCR_FAILED;Nem olvasható szöveg
._34812.pdf;OCR_FAILED;Nem olvasható szöveg
._34813.pdf;OCR_FAILED;Nem olvasható szöveg
._34814.pdf;OCR_FAILED;Nem olvasható szöveg
._34815.pdf;OCR_FAILED;Nem olvasható szöveg
._34851.pdf;OCR_FAILED;Nem olvasható szöveg
._34859.pdf;OCR_FAILED;Nem olvasható szöveg
._34867.pdf;OCR_FAILED;Nem olvasható szöveg
._34869.pdf;OCR_FAILED;Nem olvasható szöveg
._34876.pdf;OCR_FAILED;Nem olvasható szöveg
._34960.pdf;OCR_FAILED;Nem olvasható szöveg
._34969.pdf;OCR_FAILED;Nem olvasható szöveg
._34970.pdf;OCR_FAILED;Nem olvasható szöveg
._34971.pdf;OCR_FAILED;Nem olvasható szöveg
._35030.pdf;OCR_FAILED;Nem olvasható szöveg
._35036.pdf;OCR_FAILED;Nem olvasható szöveg
._35066.pdf;OCR_FAILED;Nem olvasható szöveg
._35142.pdf;OCR_FAILED;Nem olvasható szöveg
._35160.pdf;OCR_FAILED;Nem olvasható szöveg
._35168.pdf;OCR_FAILED;Nem olvasható szöveg
._35169.pdf;OCR_FAILED;Nem olvasható szöveg
